id	Col_0_1	Col_0_2	Col_0_3	Col_48_1	Col_48_2	Col_48_3	col0_1	col0_2	col0_3	bmi1abc_1	bmi1abc_2	clfswn_1	clfswn_2	clfswn_3
AT3G21710	0.101604088	0.100696264	0.144651362	18.24398352	19.64524075	26.46267619	26.49505	28.42576	31.52063	1.194479	0.8912206	15.019	11.48033	10.31096
AT3G21720	1345.351156	1526.318473	1368.634087	13668.2527	13254.20194	12682.28535	12.40455	8.874997	8.737369	713.9896	835.8661	1533.226	1849.943	2054.133
AT3G21730	0	0	0	3.189495286	2.800273994	2.597522406	0	0	0	0	0.061143	0	0	0.186224
AT3G21740	9.350895657	9.475134198	7.442349111	14.0949221	14.85414551	12.74141662	5.59217	6.387024	7.119027	5.931556	6.644138	10.90479	9.741444	10.17902
AT3G21750	2.536164468	2.391882882	2.290645167	90.13834057	83.65265213	87.59867022	21.61798	24.90713	21.95103	13.93689	16.17138	61.2343	65.01097	64.52039
AT3G21760	5.857972346	7.912514364	6.860205838	25.9909935	24.40238766	27.95754379	22.3453	21.03906	24.15231	15.45893	17.74885	13.15921	10.51239	12.35907
AT3G21770	0	0.050831011	0	5.599363167	4.270750354	7.0501807	35.34301	40.51144	43.37969	3.530617	0.631984	17.36495	17.49783	16.30932
AT3G21780	4.765332343	5.116317361	5.135332205	0.142610148	0.560450877	0.574595238	1.678616	1.330653	1.367725	0.251109	0.320565	1.960094	1.449638	1.577418
AT3G21790	34.13267129	32.905963	30.23325269	29.3917449	27.76132501	29.74038331	26.81636	26.88897	26.16663	6.524029	8.616413	33.1041	34.19754	41.13378
AT3G21800	3.887557374	4.41665003	4.094722128	4.699054961	7.694606309	6.722628445	0.033527	0	0	12.71098	19.05723	1.384185	0.720013	0.76228
